Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
Dank Depot,"68031 RAMON RD UNIT 103, CATHEDRAL CITY, CA 92234",33.8153996,-116.4748682,,,
Blue Mountain Collective,"692 Marshall Ave., San Andreas, CA 95249",38.1902263,-120.6716096,,,
Alternatives,"1603 Hampton Way, Santa Rosa, CA 95407",38.4282824,-122.7382451,,,
A Therapeutic Alternative,"3015 H Street, Sacramento, CA 95816",38.5754698,-121.4648757,,,
Sespe Creek Collective Inc.,"408 BRYANT CIR UNIT C, Ojai, CA 93023",34.4428446,-119.2378096,,,
BPG,"2366 San Pablo, Berkeley, CA 94702",37.8632602,-122.2906567,,,
Vapor Room,"79 9th Street, San Francisco, CA 94103",37.77679269,-122.4152701,,,
Bud and Bloom OC,"1327 E St Gertrude Place, Santa Ana, CA 92705",33.71969016,-117.8543274,,,
PHC (EAZE Depot),"1425 Long Beach Ave., Los Angeles, CA 90021",34.02559,-118.24154,,,
Doctors Choice,"2039 Yosemite BLVD, Modesto, CA 95354",37.6386827,-120.9602714,,,
The Green Goddess (Eaze Depot),"1716 Main St., Venice, CA 90291",33.98758,-118.47056,,,
The Higher Conscious (THC Dispensary),"100 LAS PALMAS AVE W SUITE H, Patterson, CA 95363",37.4720094,-121.1275022,,,
Valley Pure,"132 N Valencia Blvd, Woodlake, CA 93286",36.4145317,-119.0985406,,,
HPC - Hueneme Patient,"501 West Channel Islands Blvd Unit #302, Port Hueneme, CA 93041",34.12875428,-119.1454888,,,
Solful,"785 Gravenstein Highway S, Sebastopol, California 95472",38.39517967,-122.8194049,,,
Remedy Inc,"68945 vista chino suite c, cathedral city, ca 92234",33.8446565,-116.4595511,,,
Pure Life Collective,"537 Pleasant Valley Rd #2, Diamond Springs, CA 95619",38.69443453,-120.8150395,,,
Desert Organic Solutions Collective,"19486 Newhall St, Palm Springs, CA 92262",33.906693,-116.5493851,,,
THC Sacramento,"6666 Fruitridge Road #C, Sacramento, CA 95820",38.524763,-121.4247273,,,
DCC,"2121 2nd Street C101, Davis, CA 95618",38.5475946,-121.7240793,,,
The Spot,"3242 S Halladay St, Santa Ana, CA 92705",33.70481191,-117.8606642,,,
Apothekare,"3455 Camino del Rio S, San Diego, CA 92108",32.77716799,-117.1194454,,,
 Emerald Pharms,"13771 U.S. 101, Hopland, CA 95449",38.94215174,-123.1012617,,,
Sweet Flower (Melrose,"8163 MELROSE AVE, Los Angeles, CA 90046",34.08389,-118.36735,,,
Big Sur Cannabotanicals,"26352 CARMEL RANCHO LANE LN SUITE 100, Carmel, CA 93923",36.540797,-121.9065869,,,
Elevation 2477,"569 SEARLS AVE SUITE D, NEVADA CITY, CA 95959",39.2523246,-121.0233662,,,
Goldn Bloom,"3385 Sunrise St., San Diego, CA 92102",32.7139299,-117.1212071,,,
Harvest of Napa,"2449 2nd Street, Napa, CA 94559",38.2972561,-122.3013932,,,
Safe Port,"353 W. Channel Islands Blvd, Port Hueneme, CA 93041",34.17607765,-119.2072955,,,
Kolas,"1115 FEE DR, SACRAMENTO, CA 95815",38.60049293,-121.4417484,,,
Kush Pharm,"16770 STAGG ST, VAN NUYS, CA 914061635",34.21293,-118.49915,,,
Peoples OC,"2721 S. Grand Ave, Santa Ana, CA 92705",33.7157008,-117.8505108,,,
From The Earth-OC,"3023 S. Orange Avenue, Santa Ana, CA 92707",33.70609905,-117.8647159,,,
Santa Cruz Naturals,"9077 Soquel Dr, Aptos, CA 95003",36.9758738,-121.8880494,,,
Santa Cruz Naturals,"19 San Juan Rd, ROYAL OAKS, CA 95076-5234",36.9046947,-121.749374,,,
"Torrey Holistics, Inc.","10671 Roselle St Suite #102, San Diego, CA 92121",32.8982204,-117.2218272,,,
The Circle,"1755 Ximeno Ave, Long Beach, CA 90815",33.7890458,-118.1394081,,,
DIXON WELLNESS,"1150 1ST ST, DIXON, CA 95620-3164",38.4573637,-121.821811,,,
Mission Organic Center,"5258 Mission St., San Francisco, CA 94112",37.715179,-122.4424184,,,
Curbstone Exchange,"6535 Hwy 9, Felton, CA 95018",37.0559314,-122.0754688,,,
AMC,"1220 BLUMENFELD DR, NE Sacramento, CA 95815",38.60404616,-121.4387033,,,
 Garden of Eden,"21227 Foothill Blvd., Hayward, CA 94541",37.6852637,-122.0929456,,,
Valley Health Options,"1421 Auburn Blvd, Sacramento, CA 95815",38.61126665,-121.4343245,,,
Zen Garden Wellness Stockton,"7632 Pacific Ave, Stockton, CA 95207",38.01876134,-121.3234973,,,
Connected Sacramento,"2831 Fruitridge RD, Sacramento, CA 95820",38.52494478,-121.4768913,,,
The Medicine Woman,"9058 Rose St, Bellflower, CA 90706",33.8692463,-118.1405994,,,
ShowGrow Long Beach,"3411 East Anaheim Street, Long Beach, CA 90804",33.7829615,-118.1518414,,,
Doctor's Orders,"1704 MAIN AVE, SACRAMENTO, CA 95838",38.65449329,-121.4269545,,,
Safe Accessible Solutions ,"8125 36th Ave., Sacramento, CA 95824",38.52052451,-121.4086954,,,